id,claim_id,book_name,chunk_id,chapter_id,chunk_pos,time_bucket,retrieval_stage,score_vec,score_lex,score_rerank,score_lex_norm,rank,is_disjoint,run_id
46,46_c03,In search of the castaways,castaways_ch000_w0122,ch000,0.262645,EARLY,BM25,,3.9537309562190783,,0.16140821069004546,12,True,run_20260201_223201
46,46_c04,In search of the castaways,castaways_ch000_w0146,ch000,0.315038,EARLY,BM25,,10.93263730675009,,1.0,1,True,run_20260201_223201
46,46_c04,In search of the castaways,castaways_ch000_w0025,ch000,0.05512,EARLY,BM25,,10.112198687582696,,0.8737502386474039,2,True,run_20260201_223201
46,46_c04,In search of the castaways,castaways_ch000_w0106,ch000,0.228343,EARLY,BM25,,9.863049968143114,,0.835411031257979,3,True,run_20260201_223201
46,46_c04,In search of the castaways,castaways_ch000_w0116,ch000,0.249923,EARLY,BM25,,9.126856235878453,,0.7221249415538971,4,True,run_20260201_223201
46,46_c04,In search of the castaways,castaways_ch000_w0128,ch000,0.275496,EARLY,BM25,,8.959141646485204,,0.6963168842640851,5,True,run_20260201_223201
46,46_c04,In search of the castaways,castaways_ch000_w0150,ch000,0.323606,EARLY,BM25,,8.791588250445745,,0.6705336315385296,6,True,run_20260201_223201
46,46_c04,In search of the castaways,castaways_ch000_w0136,ch000,0.293102,EARLY,BM25,,8.426679471831758,,0.614381172184244,7,True,run_20260201_223201
46,46_c04,In search of the castaways,castaways_ch000_w0142,ch000,0.306321,EARLY,BM25,,8.34625402472669,,0.6020052390352233,8,True,run_20260201_223201
46,46_c04,In search of the castaways,castaways_ch000_w0232,ch000,0.500185,MID,BM25,,8.249028573503475,,0.5870441076019101,9,True,run_20260201_223201
46,46_c04,In search of the castaways,castaways_ch000_w0107,ch000,0.230501,EARLY,BM25,,8.022881573020676,,0.5522444234152573,10,True,run_20260201_223201
46,46_c04,In search of the castaways,castaways_ch000_w0100,ch000,0.215192,EARLY,BM25,,7.747933511450643,,0.5099351922959293,11,True,run_20260201_223201
46,46_c04,In search of the castaways,castaways_ch000_w0129,ch000,0.277732,EARLY,BM25,,7.169717608826047,,0.42095885937938105,12,True,run_20260201_223201
46,46_c05,In search of the castaways,castaways_ch000_w0121,ch000,0.260441,EARLY,BM25,,6.661013548860998,,1.0,1,True,run_20260201_223201
46,46_c05,In search of the castaways,castaways_ch000_w0344,ch000,0.740022,LATE,BM25,,6.014879381556047,,0.8964551449289934,2,True,run_20260201_223201
46,46_c05,In search of the castaways,castaways_ch000_w0171,ch000,0.368964,MID,BM25,,5.918112890667299,,0.880948036991028,3,True,run_20260201_223201
46,46_c05,In search of the castaways,castaways_ch000_w0081,ch000,0.174548,EARLY,BM25,,4.295110877847257,,0.6208573055283033,4,True,run_20260201_223201
46,46_c05,In search of the castaways,castaways_ch000_w0220,ch000,0.474309,MID,BM25,,4.282913447349294,,0.6189026322776715,5,True,run_20260201_223201
46,46_c05,In search of the castaways,castaways_ch000_w0055,ch000,0.118718,EARLY,BM25,,4.267380526274976,,0.6164134370874865,6,True,run_20260201_223201
46,46_c05,In search of the castaways,castaways_ch000_w0387,ch000,0.832243,LATE,BM25,,4.2461379751031565,,0.6130092572843987,7,True,run_20260201_223201
46,46_c05,In search of the castaways,castaways_ch000_w0416,ch000,0.894396,LATE,BM25,,4.240844012601459,,0.6121608845969179,8,True,run_20260201_223201
46,46_c05,In search of the castaways,castaways_ch000_w0155,ch000,0.334517,MID,BM25,,4.2386212323526395,,0.611804677681443,9,True,run_20260201_223201
46,46_c05,In search of the castaways,castaways_ch000_w0128,ch000,0.275496,EARLY,BM25,,4.229117519650854,,0.6102816804401001,10,True,run_20260201_223201
46,46_c05,In search of the castaways,castaways_ch000_w0084,ch000,0.180782,EARLY,BM25,,4.2016492906253555,,0.605879817889841,11,True,run_20260201_223201
46,46_c05,In search of the castaways,castaways_ch000_w0200,ch000,0.431426,MID,BM25,,4.196408828763112,,0.6050400188334091,12,True,run_20260201_223201
137,137_c01,The Count of Monte Cristo,montecristo_ch000_w0947,ch000,0.605984,MID,BM25,,12.251464493337693,,1.0,1,True,run_20260201_223201
137,137_c01,The Count of Monte Cristo,montecristo_ch000_w0217,ch000,0.139125,EARLY,BM25,,12.208680751121788,,0.9916908499620324,2,True,run_20260201_223201
137,137_c01,The Count of Monte Cristo,montecristo_ch000_w0218,ch000,0.139753,EARLY,BM25,,12.156384087394938,,0.981534168875122,3,True,run_20260201_223201
137,137_c01,The Count of Monte Cristo,montecristo_ch000_w0613,ch000,0.39174,MID,BM25,,12.091744813075827,,0.9689803949216325,4,True,run_20260201_223201
137,137_c01,The Count of Monte Cristo,montecristo_ch000_w0188,ch000,0.120586,EARLY,BM25,,11.808496586126338,,0.913969965870462,5,True,run_20260201_223201
137,137_c01,The Count of Monte Cristo,montecristo_ch000_w1225,ch000,0.78475,LATE,BM25,,11.778475580889467,,0.9081395026177396,6,True,run_20260201_223201
137,137_c01,The Count of Monte Cristo,montecristo_ch000_w1220,ch000,0.781618,LATE,BM25,,11.764643614719644,,0.905453157845813,7,True,run_20260201_223201
137,137_c01,The Count of Monte Cristo,montecristo_ch000_w0219,ch000,0.140397,EARLY,BM25,,11.579492113411787,,0.8694943677905098,8,True,run_20260201_223201
137,137_c01,The Count of Monte Cristo,montecristo_ch000_w0784,ch000,0.501734,MID,BM25,,11.297038977712427,,0.8146383556311078,9,True,run_20260201_223201
137,137_c01,The Count of Monte Cristo,montecristo_ch000_w0143,ch000,0.092039,EARLY,BM25,,11.290313879681161,,0.8133322555644086,10,True,run_20260201_223201
137,137_c01,The Count of Monte Cristo,montecristo_ch000_w0583,ch000,0.372542,MID,BM25,,10.462590879321327,,0.6525778604682781,11,True,run_20260201_223201
137,137_c01,The Count of Monte Cristo,montecristo_ch000_w0075,ch000,0.048567,EARLY,BM25,,10.440399098631707,,0.6482679327759039,12,True,run_20260201_223201
137,137_c02,The Count of Monte Cristo,montecristo_ch000_w0583,ch000,0.372542,MID,BM25,,18.79295719602994,,1.0,1,True,run_20260201_223201
137,137_c02,The Count of Monte Cristo,montecristo_ch000_w0887,ch000,0.567656,MID,BM25,,16.428850668049254,,0.7549574877603281,2,True,run_20260201_223201
137,137_c02,The Count of Monte Cristo,montecristo_ch000_w1483,ch000,0.951749,LATE,BM25,,15.853659288441248,,0.6953382028382825,3,True,run_20260201_223201
137,137_c02,The Count of Monte Cristo,montecristo_ch000_w1241,ch000,0.7948,LATE,BM25,,15.532983806345666,,0.6620997997391259,4,True,run_20260201_223201
137,137_c02,The Count of Monte Cristo,montecristo_ch000_w1246,ch000,0.798084,LATE,BM25,,15.515684982631663,,0.6603067556560867,5,True,run_20260201_223201
137,137_c02,The Count of Monte Cristo,montecristo_ch000_w1482,ch000,0.951111,LATE,BM25,,15.123963065565205,,0.6197043033041215,6,True,run_20260201_223201
137,137_c02,The Count of Monte Cristo,montecristo_ch000_w1387,ch000,0.889936,LATE,BM25,,14.629014239250541,,0.5684022564653874,7,True,run_20260201_223201
137,137_c02,The Count of Monte Cristo,montecristo_ch000_w0089,ch000,0.057472,EARLY,BM25,,14.614768301372246,,0.5669256477061835,8,True,run_20260201_223201
137,137_c02,The Count of Monte Cristo,montecristo_ch000_w1484,ch000,0.952371,LATE,BM25,,13.555277118967489,,0.4571081001636036,9,True,run_20260201_223201
137,137_c02,The Count of Monte Cristo,montecristo_ch000_w1375,ch000,0.88208,LATE,BM25,,13.537282335102361,,0.45524291896583113,10,True,run_20260201_223201
137,137_c02,The Count of Monte Cristo,montecristo_ch000_w0241,ch000,0.154149,EARLY,BM25,,13.526044366467609,,0.45407808987114456,11,True,run_20260201_223201
137,137_c02,The Count of Monte Cristo,montecristo_ch000_w0558,ch000,0.356607,MID,BM25,,13.507470721116828,,0.45215290897750204,12,True,run_20260201_223201
74,74_c01,In search of the castaways,castaways_ch000_w0375,ch000,0.806362,LATE,BM25,,13.698669469406898,,1.0,1,True,run_20260201_223201
74,74_c01,In search of the castaways,castaways_ch000_w0377,ch000,0.810811,LATE,BM25,,13.627362527823458,,0.9931689633253217,2,True,run_20260201_223201
74,74_c01,In search of the castaways,castaways_ch000_w0368,ch000,0.791129,LATE,BM25,,13.441473138128998,,0.9753611986079057,3,True,run_20260201_223201
74,74_c01,In search of the castaways,castaways_ch000_w0376,ch000,0.808581,LATE,BM25,,13.016862575598742,,0.934684509064211,4,True,run_20260201_223201
74,74_c01,In search of the castaways,castaways_ch000_w0367,ch000,0.78894,LATE,BM25,,12.948036089332184,,0.9280910941534629,5,True,run_20260201_223201
74,74_c01,In search of the castaways,castaways_ch000_w0374,ch000,0.80417,LATE,BM25,,12.884001313684923,,0.921956713808607,6,True,run_20260201_223201
74,74_c01,In search of the castaways,castaways_ch000_w0380,ch000,0.817283,LATE,BM25,,12.807905350283905,,0.9146669001488937,7,True,run_20260201_223201
74,74_c01,In search of the castaways,castaways_ch000_w0366,ch000,0.786793,LATE,BM25,,12.400404335346085,,0.8756292648753128,8,True,run_20260201_223201
74,74_c01,In search of the castaways,castaways_ch000_w0378,ch000,0.812975,LATE,BM25,,11.307490987221975,,0.7709307460846111,9,True,run_20260201_223201
74,74_c01,In search of the castaways,castaways_ch000_w0381,ch000,0.819412,LATE,BM25,,10.579707785152852,,0.7012108333502869,10,True,run_20260201_223201
74,74_c01,In search of the castaways,castaways_ch000_w0379,ch000,0.815126,LATE,BM25,,9.176478607401357,,0.5667847906208755,11,True,run_20260201_223201
74,74_c01,In search of the castaways,castaways_ch000_w0411,ch000,0.883463,LATE,BM25,,9.090669972352497,,0.5585645259452836,12,True,run_20260201_223201
109,109_c01,The Count of Monte Cristo,montecristo_ch000_w1125,ch000,0.720577,LATE,BM25,,12.859550324156032,,1.0,1,True,run_20260201_223201
109,109_c01,The Count of Monte Cristo,montecristo_ch000_w0132,ch000,0.084947,EARLY,BM25,,11.746491968933347,,0.8615080836358907,2,True,run_20260201_223201
109,109_c01,The Count of Monte Cristo,montecristo_ch000_w1087,ch000,0.696383,LATE,BM25,,9.980794466998606,,0.6418117580884855,3,True,run_20260201_223201
109,109_c01,The Count of Monte Cristo,montecristo_ch000_w1126,ch000,0.721241,LATE,BM25,,9.271242701070726,,0.5535260151516472,4,True,run_20260201_223201
109,109_c01,The Count of Monte Cristo,montecristo_ch000_w1036,ch000,0.663499,LATE,BM25,,9.069302005332887,,0.5283996111195428,5,True,run_20260201_223201
109,109_c01,The Count of Monte Cristo,montecristo_ch000_w1034,ch000,0.662134,LATE,BM25,,8.865334439177923,,0.5030210144086159,6,True,run_20260201_223201
109,109_c01,The Count of Monte Cristo,montecristo_ch000_w1090,ch000,0.698322,LATE,BM25,,8.804463868315406,,0.49544721383529305,7,True,run_20260201_223201
109,109_c01,The Count of Monte Cristo,montecristo_ch000_w0321,ch000,0.205121,EARLY,BM25,,8.589140991782072,,0.46865573639998126,8,True,run_20260201_223201
109,109_c01,The Count of Monte Cristo,montecristo_ch000_w0126,ch000,0.081075,EARLY,BM25,,8.441945808208484,,0.45034102454590724,9,True,run_20260201_223201
109,109_c01,The Count of Monte Cristo,montecristo_ch000_w0842,ch000,0.538628,MID,BM25,,8.33776104324567,,0.43737786974998677,10,True,run_20260201_223201
109,109_c01,The Count of Monte Cristo,montecristo_ch000_w0863,ch000,0.552176,MID,BM25,,8.218010335559658,,0.42247792769791337,11,True,run_20260201_223201
109,109_c01,The Count of Monte Cristo,montecristo_ch000_w1022,ch000,0.65419,MID,BM25,,8.035598567653514,,0.39978140402855655,12,True,run_20260201_223201
109,109_c02,The Count of Monte Cristo,montecristo_ch000_w1087,ch000,0.696383,LATE,BM25,,13.250322196782271,,1.0,1,True,run_20260201_223201
109,109_c02,The Count of Monte Cristo,montecristo_ch000_w1125,ch000,0.720577,LATE,BM25,,12.729989197311298,,0.9271799920756357,2,True,run_20260201_223201
109,109_c02,The Count of Monte Cristo,montecristo_ch000_w0863,ch000,0.552176,MID,BM25,,12.533342977949854,,0.8996595786735343,3,True,run_20260201_223201
109,109_c02,The Count of Monte Cristo,montecristo_ch000_w0841,ch000,0.537966,MID,BM25,,11.685614560285464,,0.7810209565703953,4,True,run_20260201_223201
109,109_c02,The Count of Monte Cristo,montecristo_ch000_w0126,ch000,0.081075,EARLY,BM25,,11.197242066854383,,0.7126737848979272,5,True,run_20260201_223201
109,109_c02,The Count of Monte Cristo,montecristo_ch000_w1034,ch000,0.662134,LATE,BM25,,11.17187177697621,,0.7091232418575084,6,True,run_20260201_223201
109,109_c02,The Count of Monte Cristo,montecristo_ch000_w0740,ch000,0.472988,MID,BM25,,10.611119266926625,,0.630646569674629,7,True,run_20260201_223201
109,109_c02,The Count of Monte Cristo,montecristo_ch000_w1029,ch000,0.658799,MID,BM25,,10.609213918271097,,0.6303799183103386,8,True,run_20260201_223201
109,109_c02,The Count of Monte Cristo,montecristo_ch000_w0858,ch000,0.548939,MID,BM25,,10.365422299291334,,0.5962615601742037,9,True,run_20260201_223201
109,109_c02,The Count of Monte Cristo,montecristo_ch000_w1048,ch000,0.67132,LATE,BM25,,10.212065750988984,,0.5747994867058973,10,True,run_20260201_223201
109,109_c02,The Count of Monte Cristo,montecristo_ch000_w0123,ch000,0.079217,EARLY,BM25,,10.141785537593202,,0.5649638512539653,11,True,run_20260201_223201
109,109_c02,The Count of Monte Cristo,montecristo_ch000_w1246,ch000,0.798084,LATE,BM25,,10.008338203125538,,0.5462880494822141,12,True,run_20260201_223201
104,104_c01,The Count of Monte Cristo,montecristo_ch000_w0705,ch000,0.450604,MID,BM25,,10.798636438372068,,1.0,1,True,run_20260201_223201
104,104_c01,The Count of Monte Cristo,montecristo_ch000_w0120,ch000,0.077343,EARLY,BM25,,10.738794818432794,,0.988861075182967,2,True,run_20260201_223201
104,104_c01,The Count of Monte Cristo,montecristo_ch000_w0192,ch000,0.123188,EARLY,BM25,,10.175214764950429,,0.883956230519838,3,True,run_20260201_223201
104,104_c01,The Count of Monte Cristo,montecristo_ch000_w0121,ch000,0.077979,EARLY,BM25,,10.008248342207068,,0.8528770847381133,4,True,run_20260201_223201
104,104_c01,The Count of Monte Cristo,montecristo_ch000_w0864,ch000,0.552845,MID,BM25,,9.054353136008551,,0.6753189404907493,5,True,run_20260201_223201
104,104_c01,The Count of Monte Cristo,montecristo_ch000_w0616,ch000,0.39367,MID,BM25,,9.01984994379795,,0.6688965130168353,6,True,run_20260201_223201
104,104_c01,The Count of Monte Cristo,montecristo_ch000_w0343,ch000,0.219247,EARLY,BM25,,8.911697230116642,,0.6487649566238648,7,True,run_20260201_223201
104,104_c01,The Count of Monte Cristo,montecristo_ch000_w0063,ch000,0.040694,EARLY,BM25,,8.811730306105217,,0.6301571038972289,8,True,run_20260201_223201
104,104_c01,The Count of Monte Cristo,montecristo_ch000_w0483,ch000,0.308672,EARLY,BM25,,8.653322348786268,,0.6006710316821698,9,True,run_20260201_223201
104,104_c01,The Count of Monte Cristo,montecristo_ch000_w1283,ch000,0.821895,LATE,BM25,,8.369951060032006,,0.5479242730893612,10,True,run_20260201_223201
104,104_c01,The Count of Monte Cristo,montecristo_ch000_w0077,ch000,0.049883,EARLY,BM25,,8.275477793544617,,0.5303390102958331,11,True,run_20260201_223201
104,104_c01,The Count of Monte Cristo,montecristo_ch000_w0784,ch000,0.501734,MID,BM25,,8.268698309810539,,0.529077076549908,12,True,run_20260201_223201
104,104_c02,The Count of Monte Cristo,montecristo_ch000_w1202,ch000,0.770113,LATE,BM25,,13.161343159428794,,1.0,1,True,run_20260201_223201
104,104_c02,The Count of Monte Cristo,montecristo_ch000_w1200,ch000,0.768835,LATE,BM25,,12.787266759227752,,0.9479146608003189,2,True,run_20260201_223201
104,104_c02,The Count of Monte Cristo,montecristo_ch000_w1047,ch000,0.670657,LATE,BM25,,12.485187913469051,,0.9058540573034556,3,True,run_20260201_223201
104,104_c02,The Count of Monte Cristo,montecristo_ch000_w1048,ch000,0.67132,LATE,BM25,,12.287135405760854,,0.8782777866865844,4,True,run_20260201_223201
