id,claim_id,book_name,k_found,buckets_covered,unique_chapters,split,backend,K,candidate_pool,max_per_chapter,enforce_buckets,run_id
66,66_c02,In search of the castaways,12,2,9,train,bm25,12,80,12,False,run_20260225_221138
89,89_c01,The Count of Monte Cristo,12,3,2,train,bm25,12,80,12,False,run_20260225_221138
89,89_c02,The Count of Monte Cristo,12,3,2,train,bm25,12,80,12,False,run_20260225_221138
34,34_c01,In search of the castaways,12,2,6,train,bm25,12,80,12,False,run_20260225_221138
34,34_c02,In search of the castaways,12,3,9,train,bm25,12,80,12,False,run_20260225_221138
99,99_c01,The Count of Monte Cristo,12,3,2,train,bm25,12,80,12,False,run_20260225_221138
99,99_c02,The Count of Monte Cristo,12,3,2,train,bm25,12,80,12,False,run_20260225_221138
123,123_c01,The Count of Monte Cristo,12,3,2,train,bm25,12,80,12,False,run_20260225_221138
116,116_c01,The Count of Monte Cristo,12,3,2,train,bm25,12,80,12,False,run_20260225_221138
43,43_c01,In search of the castaways,12,3,8,train,bm25,12,80,12,False,run_20260225_221138
43,43_c02,In search of the castaways,12,3,8,train,bm25,12,80,12,False,run_20260225_221138
108,108_c01,The Count of Monte Cristo,12,3,2,train,bm25,12,80,12,False,run_20260225_221138
108,108_c02,The Count of Monte Cristo,12,3,2,train,bm25,12,80,12,False,run_20260225_221138
128,128_c01,The Count of Monte Cristo,12,2,2,train,bm25,12,80,12,False,run_20260225_221138
29,29_c01,In search of the castaways,12,3,8,train,bm25,12,80,12,False,run_20260225_221138
69,69_c01,In search of the castaways,12,2,5,train,bm25,12,80,12,False,run_20260225_221138
69,69_c02,In search of the castaways,12,1,4,train,bm25,12,80,12,False,run_20260225_221138
69,69_c03,In search of the castaways,12,1,4,train,bm25,12,80,12,False,run_20260225_221138
69,69_c04,In search of the castaways,12,1,4,train,bm25,12,80,12,False,run_20260225_221138
69,69_c05,In search of the castaways,12,1,4,train,bm25,12,80,12,False,run_20260225_221138
50,50_c01,In search of the castaways,12,3,8,train,bm25,12,80,12,False,run_20260225_221138
50,50_c02,In search of the castaways,12,3,8,train,bm25,12,80,12,False,run_20260225_221138
50,50_c03,In search of the castaways,12,3,8,train,bm25,12,80,12,False,run_20260225_221138
5,5_c01,In search of the castaways,12,3,9,train,bm25,12,80,12,False,run_20260225_221138
5,5_c02,In search of the castaways,12,2,7,train,bm25,12,80,12,False,run_20260225_221138
39,39_c01,In search of the castaways,12,3,9,train,bm25,12,80,12,False,run_20260225_221138
39,39_c02,In search of the castaways,12,3,9,train,bm25,12,80,12,False,run_20260225_221138
39,39_c03,In search of the castaways,12,3,9,train,bm25,12,80,12,False,run_20260225_221138
19,19_c01,In search of the castaways,12,3,8,train,bm25,12,80,12,False,run_20260225_221138
19,19_c02,In search of the castaways,12,3,8,train,bm25,12,80,12,False,run_20260225_221138
113,113_c01,The Count of Monte Cristo,12,3,2,train,bm25,12,80,12,False,run_20260225_221138
113,113_c02,The Count of Monte Cristo,12,3,2,train,bm25,12,80,12,False,run_20260225_221138
139,139_c01,The Count of Monte Cristo,12,2,2,train,bm25,12,80,12,False,run_20260225_221138
139,139_c02,The Count of Monte Cristo,12,2,2,train,bm25,12,80,12,False,run_20260225_221138
71,71_c01,In search of the castaways,12,2,6,train,bm25,12,80,12,False,run_20260225_221138
71,71_c02,In search of the castaways,12,1,4,train,bm25,12,80,12,False,run_20260225_221138
71,71_c03,In search of the castaways,12,2,5,train,bm25,12,80,12,False,run_20260225_221138
71,71_c04,In search of the castaways,12,1,4,train,bm25,12,80,12,False,run_20260225_221138
71,71_c05,In search of the castaways,12,1,4,train,bm25,12,80,12,False,run_20260225_221138
26,26_c01,In search of the castaways,12,3,6,train,bm25,12,80,12,False,run_20260225_221138
26,26_c02,In search of the castaways,12,3,8,train,bm25,12,80,12,False,run_20260225_221138
26,26_c03,In search of the castaways,12,3,8,train,bm25,12,80,12,False,run_20260225_221138
26,26_c04,In search of the castaways,12,2,8,train,bm25,12,80,12,False,run_20260225_221138
117,117_c01,The Count of Monte Cristo,12,3,2,train,bm25,12,80,12,False,run_20260225_221138
117,117_c02,The Count of Monte Cristo,12,1,2,train,bm25,12,80,12,False,run_20260225_221138
6,6_c01,In search of the castaways,12,2,6,train,bm25,12,80,12,False,run_20260225_221138
6,6_c02,In search of the castaways,12,2,8,train,bm25,12,80,12,False,run_20260225_221138
6,6_c03,In search of the castaways,12,2,7,train,bm25,12,80,12,False,run_20260225_221138
6,6_c04,In search of the castaways,12,2,8,train,bm25,12,80,12,False,run_20260225_221138
76,76_c01,In search of the castaways,12,2,6,train,bm25,12,80,12,False,run_20260225_221138
76,76_c02,In search of the castaways,12,1,4,train,bm25,12,80,12,False,run_20260225_221138
17,17_c01,In search of the castaways,12,3,7,train,bm25,12,80,12,False,run_20260225_221138
17,17_c02,In search of the castaways,12,2,8,train,bm25,12,80,12,False,run_20260225_221138
17,17_c03,In search of the castaways,12,2,7,train,bm25,12,80,12,False,run_20260225_221138
17,17_c04,In search of the castaways,12,2,8,train,bm25,12,80,12,False,run_20260225_221138
20,20_c01,In search of the castaways,12,3,8,train,bm25,12,80,12,False,run_20260225_221138
20,20_c02,In search of the castaways,12,2,6,train,bm25,12,80,12,False,run_20260225_221138
10,10_c01,In search of the castaways,12,2,8,train,bm25,12,80,12,False,run_20260225_221138
10,10_c02,In search of the castaways,12,2,8,train,bm25,12,80,12,False,run_20260225_221138
122,122_c01,The Count of Monte Cristo,12,2,2,train,bm25,12,80,12,False,run_20260225_221138
62,62_c01,In search of the castaways,12,3,9,train,bm25,12,80,12,False,run_20260225_221138
62,62_c02,In search of the castaways,12,3,10,train,bm25,12,80,12,False,run_20260225_221138
62,62_c03,In search of the castaways,12,3,8,train,bm25,12,80,12,False,run_20260225_221138
36,36_c01,In search of the castaways,12,3,8,train,bm25,12,80,12,False,run_20260225_221138
73,73_c01,In search of the castaways,12,1,4,train,bm25,12,80,12,False,run_20260225_221138
98,98_c01,The Count of Monte Cristo,12,3,2,train,bm25,12,80,12,False,run_20260225_221138
25,25_c01,In search of the castaways,12,2,7,train,bm25,12,80,12,False,run_20260225_221138
25,25_c02,In search of the castaways,12,2,8,train,bm25,12,80,12,False,run_20260225_221138
120,120_c01,The Count of Monte Cristo,12,3,2,train,bm25,12,80,12,False,run_20260225_221138
120,120_c02,The Count of Monte Cristo,12,3,2,train,bm25,12,80,12,False,run_20260225_221138
105,105_c01,The Count of Monte Cristo,12,3,2,train,bm25,12,80,12,False,run_20260225_221138
57,57_c01,In search of the castaways,12,3,10,train,bm25,12,80,12,False,run_20260225_221138
57,57_c02,In search of the castaways,12,3,8,train,bm25,12,80,12,False,run_20260225_221138
106,106_c01,The Count of Monte Cristo,12,3,2,train,bm25,12,80,12,False,run_20260225_221138
106,106_c02,The Count of Monte Cristo,12,3,2,train,bm25,12,80,12,False,run_20260225_221138
106,106_c03,The Count of Monte Cristo,12,3,2,train,bm25,12,80,12,False,run_20260225_221138
118,118_c01,The Count of Monte Cristo,12,3,2,train,bm25,12,80,12,False,run_20260225_221138
118,118_c02,The Count of Monte Cristo,12,3,2,train,bm25,12,80,12,False,run_20260225_221138
126,126_c01,The Count of Monte Cristo,12,2,2,train,bm25,12,80,12,False,run_20260225_221138
126,126_c02,The Count of Monte Cristo,12,2,2,train,bm25,12,80,12,False,run_20260225_221138
4,4_c01,In search of the castaways,12,3,9,train,bm25,12,80,12,False,run_20260225_221138
4,4_c02,In search of the castaways,12,2,7,train,bm25,12,80,12,False,run_20260225_221138
125,125_c01,The Count of Monte Cristo,12,2,2,train,bm25,12,80,12,False,run_20260225_221138
125,125_c02,The Count of Monte Cristo,12,3,2,train,bm25,12,80,12,False,run_20260225_221138
40,40_c01,In search of the castaways,12,3,8,train,bm25,12,80,12,False,run_20260225_221138
40,40_c02,In search of the castaways,12,3,9,train,bm25,12,80,12,False,run_20260225_221138
96,96_c01,The Count of Monte Cristo,12,3,2,train,bm25,12,80,12,False,run_20260225_221138
96,96_c02,The Count of Monte Cristo,12,3,2,train,bm25,12,80,12,False,run_20260225_221138
45,45_c01,In search of the castaways,12,3,9,train,bm25,12,80,12,False,run_20260225_221138
45,45_c02,In search of the castaways,12,3,8,train,bm25,12,80,12,False,run_20260225_221138
45,45_c03,In search of the castaways,12,3,8,train,bm25,12,80,12,False,run_20260225_221138
54,54_c01,In search of the castaways,12,3,9,train,bm25,12,80,12,False,run_20260225_221138
54,54_c02,In search of the castaways,12,2,8,train,bm25,12,80,12,False,run_20260225_221138
54,54_c03,In search of the castaways,12,3,10,train,bm25,12,80,12,False,run_20260225_221138
8,8_c01,In search of the castaways,12,3,9,train,bm25,12,80,12,False,run_20260225_221138
8,8_c02,In search of the castaways,12,3,8,train,bm25,12,80,12,False,run_20260225_221138
32,32_c01,In search of the castaways,12,3,8,train,bm25,12,80,12,False,run_20260225_221138
32,32_c02,In search of the castaways,12,3,10,train,bm25,12,80,12,False,run_20260225_221138
14,14_c01,In search of the castaways,12,2,7,train,bm25,12,80,12,False,run_20260225_221138
14,14_c02,In search of the castaways,12,2,8,train,bm25,12,80,12,False,run_20260225_221138
14,14_c03,In search of the castaways,12,3,8,train,bm25,12,80,12,False,run_20260225_221138
63,63_c01,In search of the castaways,12,3,9,train,bm25,12,80,12,False,run_20260225_221138
41,41_c01,In search of the castaways,12,3,8,train,bm25,12,80,12,False,run_20260225_221138
41,41_c02,In search of the castaways,12,3,8,train,bm25,12,80,12,False,run_20260225_221138
41,41_c03,In search of the castaways,12,2,6,train,bm25,12,80,12,False,run_20260225_221138
23,23_c01,In search of the castaways,12,2,7,train,bm25,12,80,12,False,run_20260225_221138
23,23_c02,In search of the castaways,12,2,7,train,bm25,12,80,12,False,run_20260225_221138
23,23_c03,In search of the castaways,12,2,8,train,bm25,12,80,12,False,run_20260225_221138
90,90_c01,The Count of Monte Cristo,12,3,2,train,bm25,12,80,12,False,run_20260225_221138
90,90_c02,The Count of Monte Cristo,12,3,2,train,bm25,12,80,12,False,run_20260225_221138
100,100_c01,The Count of Monte Cristo,12,3,2,train,bm25,12,80,12,False,run_20260225_221138
100,100_c02,The Count of Monte Cristo,12,3,2,train,bm25,12,80,12,False,run_20260225_221138
138,138_c01,The Count of Monte Cristo,12,3,2,train,bm25,12,80,12,False,run_20260225_221138
138,138_c02,The Count of Monte Cristo,12,2,2,train,bm25,12,80,12,False,run_20260225_221138
138,138_c03,The Count of Monte Cristo,12,2,2,train,bm25,12,80,12,False,run_20260225_221138
130,130_c01,The Count of Monte Cristo,12,2,2,train,bm25,12,80,12,False,run_20260225_221138
48,48_c01,In search of the castaways,12,3,8,train,bm25,12,80,12,False,run_20260225_221138
48,48_c02,In search of the castaways,12,3,11,train,bm25,12,80,12,False,run_20260225_221138
95,95_c01,The Count of Monte Cristo,12,2,2,test,bm25,12,80,12,False,run_20260225_221138
95,95_c02,The Count of Monte Cristo,12,2,1,test,bm25,12,80,12,False,run_20260225_221138
95,95_c03,The Count of Monte Cristo,12,3,2,test,bm25,12,80,12,False,run_20260225_221138
136,136_c01,The Count of Monte Cristo,12,2,2,test,bm25,12,80,12,False,run_20260225_221138
136,136_c02,The Count of Monte Cristo,12,2,2,test,bm25,12,80,12,False,run_20260225_221138
59,59_c01,In search of the castaways,12,3,11,test,bm25,12,80,12,False,run_20260225_221138
59,59_c02,In search of the castaways,12,3,6,test,bm25,12,80,12,False,run_20260225_221138
60,60_c01,In search of the castaways,12,3,8,test,bm25,12,80,12,False,run_20260225_221138
60,60_c02,In search of the castaways,12,3,12,test,bm25,12,80,12,False,run_20260225_221138
124,124_c01,The Count of Monte Cristo,12,3,2,test,bm25,12,80,12,False,run_20260225_221138
111,111_c01,The Count of Monte Cristo,12,3,2,test,bm25,12,80,12,False,run_20260225_221138
135,135_c01,The Count of Monte Cristo,12,3,2,test,bm25,12,80,12,False,run_20260225_221138
135,135_c02,The Count of Monte Cristo,12,2,2,test,bm25,12,80,12,False,run_20260225_221138
135,135_c03,The Count of Monte Cristo,12,2,2,test,bm25,12,80,12,False,run_20260225_221138
27,27_c01,In search of the castaways,12,3,8,test,bm25,12,80,12,False,run_20260225_221138
27,27_c02,In search of the castaways,12,3,10,test,bm25,12,80,12,False,run_20260225_221138
110,110_c01,The Count of Monte Cristo,12,3,2,test,bm25,12,80,12,False,run_20260225_221138
110,110_c02,The Count of Monte Cristo,12,3,2,test,bm25,12,80,12,False,run_20260225_221138
110,110_c03,The Count of Monte Cristo,12,3,2,test,bm25,12,80,12,False,run_20260225_221138
42,42_c01,In search of the castaways,12,3,8,test,bm25,12,80,12,False,run_20260225_221138
42,42_c02,In search of the castaways,12,3,10,test,bm25,12,80,12,False,run_20260225_221138
42,42_c03,In search of the castaways,12,3,8,test,bm25,12,80,12,False,run_20260225_221138
56,56_c01,In search of the castaways,12,2,10,test,bm25,12,80,12,False,run_20260225_221138
56,56_c02,In search of the castaways,12,3,9,test,bm25,12,80,12,False,run_20260225_221138
80,80_c01,In search of the castaways,12,1,4,test,bm25,12,80,12,False,run_20260225_221138
80,80_c02,In search of the castaways,12,1,4,test,bm25,12,80,12,False,run_20260225_221138
80,80_c03,In search of the castaways,12,1,4,test,bm25,12,80,12,False,run_20260225_221138
80,80_c04,In search of the castaways,12,2,5,test,bm25,12,80,12,False,run_20260225_221138
80,80_c05,In search of the castaways,12,1,5,test,bm25,12,80,12,False,run_20260225_221138
80,80_c06,In search of the castaways,12,1,4,test,bm25,12,80,12,False,run_20260225_221138
28,28_c01,In search of the castaways,12,3,8,test,bm25,12,80,12,False,run_20260225_221138
28,28_c02,In search of the castaways,12,3,9,test,bm25,12,80,12,False,run_20260225_221138
28,28_c03,In search of the castaways,12,3,9,test,bm25,12,80,12,False,run_20260225_221138
28,28_c04,In search of the castaways,12,3,8,test,bm25,12,80,12,False,run_20260225_221138
101,101_c01,The Count of Monte Cristo,12,2,1,test,bm25,12,80,12,False,run_20260225_221138
101,101_c02,The Count of Monte Cristo,12,3,2,test,bm25,12,80,12,False,run_20260225_221138
91,91_c01,The Count of Monte Cristo,12,3,2,test,bm25,12,80,12,False,run_20260225_221138
91,91_c02,The Count of Monte Cristo,12,3,2,test,bm25,12,80,12,False,run_20260225_221138
91,91_c03,The Count of Monte Cristo,12,3,1,test,bm25,12,80,12,False,run_20260225_221138
24,24_c01,In search of the castaways,12,2,8,test,bm25,12,80,12,False,run_20260225_221138
24,24_c02,In search of the castaways,12,3,9,test,bm25,12,80,12,False,run_20260225_221138
119,119_c01,The Count of Monte Cristo,12,3,2,test,bm25,12,80,12,False,run_20260225_221138
119,119_c02,The Count of Monte Cristo,12,3,2,test,bm25,12,80,12,False,run_20260225_221138
93,93_c01,The Count of Monte Cristo,12,3,2,test,bm25,12,80,12,False,run_20260225_221138
93,93_c02,The Count of Monte Cristo,12,3,2,test,bm25,12,80,12,False,run_20260225_221138
72,72_c01,In search of the castaways,12,1,4,test,bm25,12,80,12,False,run_20260225_221138
72,72_c02,In search of the castaways,12,1,4,test,bm25,12,80,12,False,run_20260225_221138
